cycle_number,chg_stress_change_start,chg_stress_change_end,dischg_stress_change_start,dischg_stress_change_end,low_hold_stress_change,chgcap_start_mAhg,chgcap_end_mAhg,dischgcap_start_mAhg,dischgcap_end_mAhg,charge_current,c_rate,chg_stress_change_start_norm,chg_stress_change_end_norm,dischg_stress_change_start_norm,dischg_stress_change_end_norm
1,NaN,NaN,NaN,NaN,NaN,185.369797123764,209.587927929889,133.58620475045,140.660287420962,-0.459037023324394,0.14,NaN,NaN,NaN,NaN
2,NaN,NaN,8.55256786856017,8.16689738945886,0.0636252365568142,214.674593190943,234.913497825923,196.458529849842,203.742461651909,-0.399120087477465,0.12,NaN,NaN,0.0435337059434227,0.0400844150170909
3,6.97084291122156,7.3858891368801,8.2989333574276,8.03312763060603,0.415046225658543,197.624573279804,215.223487831463,189.130262956091,195.990884726216,-0.399104519720853,0.12,0.035273158573008,0.0343173006408289,0.0438794576167555,0.0409872512276664
4,6.5769895124333,7.06688175719629,7.53207021325544,7.15403154133708,0.489892244762987,187.473390764316,204.343399015917,180.755494762807,187.322119181226,-0.399096653462725,0.12,0.0350822561304267,0.0345833620818151,0.0416699377418057,0.0381910666642409
5,0.0303053106186848,5.76150027651693,5.93812403116056,5.50676145346838,5.79180558713562,5.46822495386377,164.522334668525,150.030992732149,158.54558345703,-6.79816249402663,2,0.00554207459904727,0.0350195630771046,0.0395793157335294,0.0347329855136637
6,4.63443184112134,5.98791753309769,6.33410326798214,5.91617598911566,1.35348569197636,139.756625041445,168.689439811388,153.389953302037,159.364158807574,-0.459001670770086,0.14,0.0331607309474379,0.0354966946347844,0.0412941208444714,0.0371236295123246
