cycle_number,max_stress,start_stress,stress_change,capacity_start_mAhg,capacity_end_mAhg,charge_current
1,NaN,NaN,NaN,318.032004544119,330.443046754217,-0.34526322136605
2,NaN,NaN,NaN,303.616658455198,314.251837433382,-0.34527549977373
3,NaN,NaN,NaN,289.955190472015,299.467538499866,-0.345414972204689
4,NaN,NaN,NaN,128.634450403727,282.679072551408,-8.39619149969651
5,NaN,NaN,NaN,111.223342905375,276.033926202923,-8.39652334587642
6,0.161120454121054,-0.595590233429664,0.756710687550719,114.495776045731,272.497578168921,-8.39662299780247
7,0.362301814008738,-0.0805155139177866,0.442817327926525,119.402136698209,119.512507030478,-8.3966177649802
8,0.194610524100602,-0.0392056303407065,0.233816154441309,117.7674466375,118.361476909162,-8.39668039553408
9,-0.14096525132305,0.122933820120256,-0.263899071443305,119.314987494363,119.314987494363,-8.39666136517501
10,-1.70421067114218,0.0793943254970974,-1.78360499663928,259.313979604303,267.010564262617,-0.345324897952031
11,-3.51119995960662,-0.0410438720047437,-3.47015608760187,252.597344561906,260.538375367868,-0.350527565331068
12,-4.4680727149724,0.840586382234007,-5.30865909720641,245.671589998356,253.215599671656,-0.350418198643717
13,-1.89186293317646,1.3212195610618,-3.21308249423826,109.627288258196,237.339036162497,-8.39974415456483
14,-1.50797246706682,0.181771124214899,-1.68974359128172,101.447408099362,230.066354955253,-8.39984964296309
15,-1.67882858985613,-0.0957089133131684,-1.58311967654296,98.1742302750902,224.481035426047,-8.39980709032693
16,-1.7734039104044,-0.329601662526278,-1.44380224787812,96.5386655288476,96.8548547423095,-8.39985883878532
17,-2.00108030877174,-0.608950451476263,-1.39212985729548,91.6299340536518,92.0320589465833,-8.39986727724736
18,-2.42723607226579,-0.777841101818007,-1.64939497044778,89.9960364401676,90.9262177185431,-8.39989583865091
19,-5.47153651578513,-0.989975760517177,-4.48156075526795,210.626383290619,218.368945416451,-0.350345451968771
20,-5.48615392643967,-0.569313560696902,-4.91684036574277,200.752712257078,208.745511331914,-0.350304562788033
21,-3.43237897768557,-0.854799624852015,-2.57757935283355,146.457075686586,200.328239523173,-4.20028460047953
22,-4.41283641664649,-0.636623968374305,-3.77621244827219,144.002611550407,190.632341484222,-4.20028811901471
23,-4.36291673525641,-0.63614570286441,-3.726771032392,141.551548204289,186.068559480888,-4.2002981148303
24,-4.37053349548957,-0.629667349267476,-3.7408661462221,138.284464495897,139.239374634445,-4.20048996943369
25,-4.3623203409586,-0.707942047155408,-3.65437829380319,135.011941002021,179.623390453582,-4.20053306110724
26,-4.29789332720035,-0.522379793898657,-3.7755135333017,131.738362537583,132.18778839698,-4.20052585301422
27,-4.3256034820952,-0.770218919818501,-3.5553845622767,128.441439285633,128.441439285633,-4.20049136507694
28,-4.127115902171,-0.878117656120611,-3.24899824605039,123.553794675358,124.218298816443,-4.20052685028178
29,-2.83758985130718,-0.994604470311157,-1.84298538099602,50.7262441524879,696.270619041978,-8.40028806889318
30,NaN,NaN,NaN,19.6358371904182,615.619020131928,-8.40030748598533
31,NaN,NaN,NaN,4.90881902286674,522.777436389596,-8.40031426361412
32,-1.8531285200494,-0.558539360900303,-1.2945891591491,22.9140150064059,51.9308239936603,-1.40050600203596
33,-1.02550147374446,-1.02550147374446,0,1.50603868870289,390.714989272788,-6.74464394465958
